number,first_name,last_name,position,age,culture,height,weight,school,college_name,region,division,scout_name,season,week,evaluation,range,confidence,text,player_id
18,Johnny,Hood,WR,23,,76,203,North Carolina State,Wolves,South,1,Media,1,2,87,5,50,,49389625
91,Keith,Jones,DT,23,,76,291,Ohio,Wildcats,Midwest,1,Media,1,2,85,5,50,,49389787
52,Kenny,Aldrich,C,22,,75,287,Texas-San Antonio,Tumbleweeds,Texas,1,Media,1,2,85,5,50,,49389700
61,Jonathan,Jones,G,22,,78,307,South Bend,Leprechauns,Midwest,1,Media,1,2,85,5,50,,49389715
42,Robert,Clark,MLB,20,,74,277,Penn State,Mountain Lions,Appalachia,1,Media,1,2,85,5,50,,49389837
65,Justin,Murray,T,22,,75,301,Youngstown State,Orcas,Midwest,2,Media,1,2,85,5,50,,49389676
59,Perry,Dean,T,22,,77,299,Texas Christian,Gila Monsters,Texas,1,Media,1,2,85,5,50,,49389675
75,John,Griffin,G,21,Adaptable,75,298,Kentucky,Tigers,South,1,American Player Scouts,1,15,85,2,65,,49389722
88,Linval,Shields,WR,23,,78,188,Army,Infantry,New York,1,Media,1,2,84,5,50,,49389631
21,Ego,Miller,S,22,,69,196,Winston-Salem,Inquisitors,South,1,Media,1,2,84,5,50,,49389918
59,Elijah,Lang,G,22,Professional,76,298,Nashville,Admirals,South,1,American Player Scouts,1,6,84,2,65,,49389684
81,Josh,Wolfe,WR,23,Aggressive,71,197,Michigan,Weasels,Midwest,1,American Player Scouts,1,16,84,2,65,"Wolfe is an ascending talent with the PFL traits to become a long-time starter as a Day 1 draft pick. He is likely to be a first round selection during the PFL Draft. Wolfe redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Wolfe was an excellent receiver for Michigan in 2023 and 2024. Overall, Josh was generally solid, but sometimes made some mistakes. It would not be surprising if he is considered an All-Pro early in his rookie contract. Brings sky-high upside for the team that can develop him. ",49389624
1,DaQuan,Welch,CB,22,Energetic,70,207,Southern,Pumas,South,2,American Player Scouts,1,18,84,2,65,"Welch has big-time ability with upside, and he could be even better now that he has starting experience. He is likely to be a first round selection during the PFL Draft. Welch redshirted in 2021 and excelled the following fall, earning the team's Outstanding Freshman Award. Welch continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. DaQuan does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. Welch is very good in zone coverage, where he reads plays well to disrupt passing lanes, covers up receivers, and makes clutch tackles downfield. He is a poor blitzer who lacks vision and the ability to fight through blocks. Welch is a natural cover corner with speed, strength, quick feet, and agility. He is fluid and does a nice job of running the route with receivers to prevent them from gaining separation. He has the versatility to become a moving chess piece in a variety of coverages and has the size and talent to match up against any receiver. DaQuan is a dynamic defender in the middle of the field thanks to being extremely well-rounded. DaQuan is also a willing run defender who will contribute to the ground defense and tackle. He fights off blocks, fires to the ball, and shows nice tackling technique for a corner. Welch should spend more time in the film room to help improve his inconsistent play. In his final collegiate season, he was voted a team captain, started all games at Cornerback, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Brings sky-high upside for the team that can develop him. ",49389892
17,Austin,Oliver,CB,20,Professional,69,182,Georgia,Dawgs,South,1,American Player Scouts,1,21,84,2,65,"Oliver is a name we will be hearing much more often next season. He is likely to be a first round selection during the PFL Draft. The Georgia coaches wasted no time getting him on the field, with plenty of playing time in 2025 en route to an All-Freshman Team selection. Oliver is very good in zone coverage, where he reads plays well to disrupt passing lanes, covers up receivers, and makes clutch tackles downfield. He is a poor blitzer who lacks vision and the ability to fight through blocks. Oliver is a natural cover corner with speed, strength, quick feet, and agility. He is fluid and does a nice job of running the route with receivers to prevent them from gaining separation. He has the versatility to become a moving chess piece in a variety of coverages and has the size and talent to match up against any receiver. Austin is a dynamic defender in the middle of the field thanks to being extremely well-rounded. Austin is also a willing run defender who will contribute to the ground defense and tackle. He fights off blocks, fires to the ball, and shows nice tackling technique for a corner. Our scouts noted Austin's play was consistently impressive. Oliver may actually end up being limited to the slot as a pro because of his thin frame and low weight. Oliver was one of the best players in college football in 2025, producing a superb season for the Dawgs. Oliver is a player that has the potential to become an All-Pro someday. ",49389889
3,Russell,Wood,K,23,Strategic,71,204,Alabama,Red Wave,South,1,American Player Scouts,1,21,84,2,65,"Entering the 2025 season, there is positive buzz about Wood in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. He is likely to be a first round selection during the PFL Draft. Wood redshirted in 2021 and excelled the following fall, earning the team's Freshman of the Year Award. Overall, Russell was generally solid, but sometimes made some mistakes. He enrolled a semester early at Alabama and it paid off, as he was named a second-team All-League pick in 2022. He brings great upside, and his potential shouldn't be overlooked. ",49389950
53,Da'Norris,Downs,DE,22,,77,253,Michigan,Weasels,Midwest,1,Media,1,2,83,5,50,,49389772
53,Jordan,McNeal,DT,21,,76,308,California,Golden Cubs,California,1,Media,1,2,83,5,50,,49389797
59,Kevin,Floyd,MLB,20,,75,247,Ohio State,Acorns,Midwest,1,Media,1,2,83,5,50,,49389833
60,Ty,Teague,G,23,,75,297,Auburn,Wildcats,South,1,Media,1,2,83,5,50,,49389696
34,Eric,Richardson,S,23,,69,183,Alabama,Red Wave,South,1,Media,1,2,83,5,50,,49389939
67,Keith,Walker,DT,21,,74,320,Minnesota,Golden Squirrels,Midwest,1,Media,1,2,83,5,50,,49389781
73,De'Veon,Brown,G,21,Energetic,79,315,Fresno State,Dogs,California,1,American Player Scouts,1,8,83,2,65,,49389687
12,Brandon,Boyer,P,23,Energetic,72,201,Houston,Lynxes,Texas,1,American Player Scouts,1,9,83,2,65,,49389967
40,Jack,Warfield,MLB,23,Aggressive,72,274,Michigan,Weasels,Midwest,1,American Player Scouts,1,11,83,2,65,,49389828
85,Dan,Young,WR,21,Aggressive,70,197,Indiana,Groundhogs,Midwest,1,American Player Scouts,1,16,83,2,65,"Entering the 2025 season, there is positive buzz about Young in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. He is likely to be a first round selection during the PFL Draft. Entering the 2025 season, there is positive buzz about Young in the scouting community. He could become an early-round prospect for the Draft and potentially be seen as a first-rounder. Will likely see the field in the PFL, but not on every down. Young should spend more time in the film room to help improve his inconsistent play. It would not be surprising if he is considered an All-Pro early in his rookie contract. His name was mentioned many times by our scouts after leaving the facility for showing outstanding leadership potential. ",49389621
68,Austin,Pollard,DE,23,Aggressive,76,291,Tulsa,Tornadoes,Great Plains,1,American Player Scouts,1,17,83,2,65,"Three-year starter with rare combination of measurables, talent and pedigree. He is likely to be a first round selection during the PFL Draft. Pollard redshirted in 2021 and excelled the following fall, earning the team's Freshman of the Year Award. Pollard continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. He was a four-star recruit at his high school and was named Defensive Player of the Year (a national award) as a senior in 2021. His hands are skilled and efficient to grease the edge while fluid counter steps open inside paths to the pocket. In the ground game, Austin is generally reliable at holding his gap. He does not get knocked off the ball and is able to set the edge. Overall, Austin was generally solid, but sometimes made some mistakes. A physically intimidating DE that has many pro skills. In his final collegiate season, he was voted a team captain, started all games at Left End, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. His name was mentioned many times by our scouts after leaving the facility for showing outstanding leadership potential. ",49389761
